Brd-Rbu-Bur.: [B, r b' r']
Drf-Bdl-Blu.: [B, d f d']
Brd-Bdl-Ubl.: [B, d b d']
Ruf-Bdl-Blu.: [B, d f2 d']
Brd-Bdl-Rbu.: [B, d b2 d']
Bdl-Blu-Ulf.: [B, d f' d']
Dbr-Brd-Bdl.: [B, d b' d']
Blu-Fdr-Ulf.: [l, U' r U]
Dlb-Fld-Lub.: [l, U' b U]
Blu-Dbr-Ulf.: [l, U' r2 U]
Dlb-Fld-Ufr.: [l, U' b2 U]
Blu-Bur-Ulf.: [l, U' r' U]
Rdb-Dlb-Fld.: [l, U' b' U]
Dlb-Fld-Bur.: [l, D' r D]
Blu-Ldf-Ulf.: [l, D' f D]
Dlb-Fld-Ufr.: [l, D' r2 D]
Blu-Dbr-Ulf.: [l, D' f2 D]
Fdr-Dlb-Fld.: [l, D' r' D]
Blu-Ruf-Ulf.: [l, D' f' D]
Blu-Dlb-Lfu.: [l, F' u F]
Dbr-Fld-Ulf.: [l, F' r F]
Dlb-Fdr-Blu.: [l, F' u2 F]
Bur-Fld-Ulf.: [l, F' r2 F]
Dlb-Rbu-Blu.: [l, F' u' F]
Ufr-Fld-Ulf.: [l, F' r' F]
Dlb-Ufr-Blu.: [l, B' r B]
Lbd-Fld-Ulf.: [l, B' d B]
Dlb-Fdr-Blu.: [l, B' r2 B]
Bur-Fld-Ulf.: [l, B' d2 B]
Dlb-Dbr-Blu.: [l, B' r' B]
Rfd-Fld-Ulf.: [l, B' d' B]
Dlb-Bur-Blu.: [l, u' L u]
Ubl-Rfd-Ful.: [l, u' R u]
Dlb-Lbd-Blu.: [l, u' L2 u]
Ubl-Rdb-Ful.: [l, u' R2 u]
Dlb-Ldf-Blu.: [l, u' L' u]
Ubl-Fru-Ful.: [l, u' R' u]
Fdr-Fld-Ulf.: [l, d' L d]
Bdl-Dfl-Rbu.: [l, d' R d]
Fld-Ulf-Lfu.: [l, d' L2 d]
Bdl-Dfl-Ruf.: [l, d' R2 d]
Lub-Fld-Ulf.: [l, d' L' d]
Brd-Bdl-Dfl.: [l, d' R' d]
Blu-Ufr-Ulf.: [l, f' L f]
Rdb-Dfl-Ful.: [l, f' R f]
Blu-Lub-Ulf.: [l, f' L2 f]
Rbu-Dfl-Ful.: [l, f' R2 f]
Blu-Lbd-Ulf.: [l, f' L' f]
Drf-Dfl-Ful.: [l, f' R' f]
Dbr-Dlb-Fld.: [l, b' L b]
Bdl-Ruf-Ubl.: [l, b' R b]
Ldf-Dlb-Fld.: [l, b' L2 b]
Bdl-Rfd-Ubl.: [l, b' R2 b]
Dlb-Fld-Lfu.: [l, b' L' b]
Bdl-Urb-Ubl.: [l, b' R' b]
Bdl-Fru-Ubl.: [l, U r U']
Rfd-Dfl-Ful.: [l, U f U']
Bdl-Drf-Ubl.: [l, U r2 U']
Urb-Dfl-Ful.: [l, U f2 U']
Bdl-Brd-Ubl.: [l, U r' U']
Lfu-Dfl-Ful.: [l, U f' U']
Brd-Dfl-Ful.: [l, D r D']
Bdl-Rbu-Ubl.: [l, D b D']
Urb-Dfl-Ful.: [l, D r2 D']
Bdl-Drf-Ubl.: [l, D b2 D']
Fru-Dfl-Ful.: [l, D r' D']
Bdl-Lbd-Ubl.: [l, D b' D']
Ubl-Drf-Ful.: [l, F r F']
Rdb-Bdl-Dfl.: [l, F d F']
Ubl-Brd-Ful.: [l, F r2 F']
Bdl-Dfl-Fru.: [l, F d2 F']
Ubl-Urb-Ful.: [l, F r' F']
Ldf-Bdl-Dfl.: [l, F d' F']
Ubl-Ruf-Ful.: [l, B u B']
Bdl-Dfl-Urb.: [l, B r B']
Ubl-Brd-Ful.: [l, B u2 B']
Bdl-Dfl-Fru.: [l, B r2 B']
Ubl-Lub-Ful.: [l, B u' B']
Drf-Bdl-Dfl.: [l, B r' B']
Ubl-Lbd-Ful.: [l, u L u']
Dlb-Bur-Blu.: [l, u R u']
Ubl-Ldf-Ful.: [l, u L2 u']
Dlb-Rfd-Blu.: [l, u R2 u']
Ubl-Fru-Ful.: [l, u L' u']
Dlb-Rdb-Blu.: [l, u R' u']
Bdl-Dfl-Lfu.: [l, d L d']
Fdr-Fld-Ulf.: [l, d R d']
Bdl-Dfl-Lub.: [l, d L2 d']
Rbu-Fld-Ulf.: [l, d R2 d']
Brd-Bdl-Dfl.: [l, d L' d']
Ruf-Fld-Ulf.: [l, d R' d']
Lub-Dfl-Ful.: [l, f L f']
Blu-Ufr-Ulf.: [l, f R f']
Lbd-Dfl-Ful.: [l, f L2 f']
Blu-Rdb-Ulf.: [l, f R2 f']
Drf-Dfl-Ful.: [l, f L' f']
Blu-Rbu-Ulf.: [l, f R' f']
Bdl-Ldf-Ubl.: [l, b L b']
Dbr-Dlb-Fld.: [l, b R b']
Ubl-Bdl-Lfu.: [l, b L2 b']
Dlb-Fld-Ruf.: [l, b R2 b']
Bdl-Urb-Ubl.: [l, b L' b']
Rfd-Dlb-Fld.: [l, b R' b']
Brd-Lub-Ful.: [u, L' d L]
Ruf-Bur-Ulf.: [u, L' f L]
Rfd-Lub-Ful.: [u, L' d2 L]
Lbd-Ruf-Bur.: [u, L' f2 L]
Fld-Lub-Ful.: [u, L' d' L]
Drf-Ruf-Bur.: [u, L' f' L]
Fld-Ruf-Bur.: [u, R' d R]
Urb-Lub-Ful.: [u, R' b R]
Lbd-Ruf-Bur.: [u, R' d2 R]
Rfd-Lub-Ful.: [u, R' b2 R]
Brd-Ruf-Bur.: [u, R' d' R]
