Rb-Rf-Uf.: [f, E' F2 E]
Lb-Lf-Df.: [f, E' B2 E]
Fu-Rf-Uf.: [f, E' F' E]
Bd-Lf-Df.: [f, E' B' E]
Fl-Rf-Uf.: [f, L E L']
Dr-Lf-Df.: [f, L S L']
Ld-Rf-Uf.: [f, L E2 L']
Lf-Df-Ru.: [f, L S2 L']
Br-Rf-Uf.: [f, L E' L']
Lf-Df-Ul.: [f, L S' L']
Df-Rf-Fu.: [f, U M U']
Lf-Ld-Uf.: [f, U S U']
Df-Rf-Ul.: [f, U M2 U']
Lf-Dr-Uf.: [f, U S2 U']
Rf-Bd-Df.: [f, U M' U']
Lf-Ru-Uf.: [f, U S' U']
Bl-Lf-Df.: [f, R E R']
Ul-Rf-Uf.: [f, R S R']
Lf-Df-Ru.: [f, R E2 R']
Ld-Rf-Uf.: [f, R S2 R']
Fr-Lf-Df.: [f, R E' R']
Dr-Rf-Uf.: [f, R S' R']
Lf-Bu-Uf.: [f, D M D']
