FUL-LUB-DLB-RDB-DFL.: [B', U L2 U' L2]
FUL-RUF-RBU-UBL-LBD.: [B', L' U2 L U2]
FUL-RUF-RBU-UBL-LBD.: [B', R U2 R' U2]
LUB-UFR-FDR-RDB-URB.: [B', U' R2 U R2]
LUB-UFR-FDR-RDB-URB.: [B', D R2 D' R2]
BUR-DRF-DFL-BDL-BRD.: [B', R' D2 R D2]
BUR-DRF-DFL-BDL-BRD.: [B', L D2 L' D2]
FUL-RFD-LBD-DBR-RBU.: [B', D2 L D2 L']
LUB-DLB-RDB-UFR-LDF.: [B', L2 U L2 U']
FUL-BUR-BLU-BDL-DRF.: [B', U2 R U2 R']
LUB-DFL-RUF-RDB-URB.: [B', R2 D R2 D']
