RDf-FLu-RFu-BRu-ULb.: [u, F' U' D' F]
RDf-BRu-LBu-FLu-ULb.: [u, B' U D B]
RDf-BRu-LBu-FLu-UFl.: [u, B' U2 D B]
RDf-BRu-LBu-FLu-URf.: [u, B' U' D B]
LFd-LBu-FLu-RFu-BDr.: [u, L2 B' L2 B]
RFu-BRu-LBu-FRd-UBr.: [u, R2 B' R2 B]
FDl-BRu-LBu-FLu-ULb.: [u, B' U D2 B]
FDl-BRu-LBu-FLu-UFl.: [u, B' U2 D2 B]
FDl-BRu-LBu-FLu-URf.: [u, B' U' D2 B]
LDb-BRu-LBu-FLu-ULb.: [u, B' U D' B]
LDb-BRu-LBu-FLu-UFl.: [u, B' U2 D' B]
LDb-BRu-LBu-FLu-URf.: [u, B' U' D' B]
LFd-LBu-FLu-RFu-FUr.: [u, F' L2 F L2]
LBu-FLu-RFu-BLd-DBl.: [u, B' L2 B L2]
LFd-LBu-FLu-RFu-FDl.: [u, F L2 F' L2]
LBu-FLu-RFu-BLd-UBr.: [u, B L2 B' L2]
RFu-BRu-LBu-FRd-DFr.: [u, F' R2 F R2]
RBd-RFu-BRu-LBu-BUl.: [u, B' R2 B R2]
RFu-BRu-LBu-FRd-UFl.: [u, F R2 F' R2]
RBd-RFu-BRu-LBu-BDr.: [u, B R2 B' R2]
FLu-RFu-BRu-LFd-DLf.: [u, L' F2 L F2]
FRd-FLu-RFu-BRu-RUb.: [u, R' F2 R F2]
FLu-RFu-BRu-LFd-ULb.: [u, L F2 L' F2]
FRd-FLu-RFu-BRu-RDf.: [u, R F2 R' F2]
BLd-BRu-LBu-FLu-LUf.: [u, L' B2 L B2]
BRu-LBu-FLu-RBd-DRb.: [u, R' B2 R B2]
BLd-BRu-LBu-FLu-LDb.: [u, L B2 L' B2]
BRu-LBu-FLu-RBd-URf.: [u, R B2 R' B2]
LBu-FLu-RFu-DBl-FUr.: [u, L U D L']
LBu-FLu-RFu-DBl-RUb.: [u, L U2 D L']
LBu-FLu-RFu-DBl-BUl.: [u, L U' D L']
LBu-FLu-RFu-DRb-FUr.: [u, L U D2 L']
LBu-FLu-RFu-DRb-RUb.: [u, L U2 D2 L']
LBu-FLu-RFu-DRb-BUl.: [u, L U' D2 L']
FRd-FLu-RFu-BRu-LUf.: [u, F2 L F2 L']
BRu-LBu-FLu-RBd-DLf.: [u, B2 L B2 L']
LBu-FLu-RFu-DFr-FUr.: [u, L U D' L']
LBu-FLu-RFu-DFr-RUb.: [u, L U2 D' L']
LBu-FLu-RFu-DFr-BUl.: [u, L U' D' L']
RFu-BRu-LBu-DFr-BUl.: [u, R U D R']
RFu-BRu-LBu-DFr-LUf.: [u, R U2 D R']
RFu-BRu-LBu-DFr-FUr.: [u, R U' D R']
RFu-BRu-LBu-DLf-BUl.: [u, R U D2 R']
RFu-BRu-LBu-DLf-LUf.: [u, R U2 D2 R']
RFu-BRu-LBu-DLf-FUr.: [u, R U' D2 R']
FLu-RFu-BRu-LFd-DRb.: [u, F2 R F2 R']
BLd-BRu-LBu-FLu-RUb.: [u, B2 R B2 R']
RFu-BRu-LBu-DBl-BUl.: [u, R U D' R']
RFu-BRu-LBu-DBl-LUf.: [u, R U2 D' R']
RFu-BRu-LBu-DBl-FUr.: [u, R U' D' R']
FLu-RFu-BRu-DLf-RUb.: [u, F U D F']
FLu-RFu-BRu-DLf-BUl.: [u, F U2 D F']
FLu-RFu-BRu-DLf-LUf.: [u, F U' D F']
LBu-FLu-RFu-BLd-DFr.: [u, L2 F L2 F']
RBd-RFu-BRu-LBu-FUr.: [u, R2 F R2 F']
FLu-RFu-BRu-DBl-RUb.: [u, F U D2 F']
FLu-RFu-BRu-DBl-BUl.: [u, F U2 D2 F']
FLu-RFu-BRu-DBl-LUf.: [u, F U' D2 F']
FLu-RFu-BRu-DRb-RUb.: [u, F U D' F']
FLu-RFu-BRu-DRb-BUl.: [u, F U2 D' F']
FLu-RFu-BRu-DRb-LUf.: [u, F U' D' F']
BRu-LBu-FLu-DRb-LUf.: [u, B U D B']
BRu-LBu-FLu-DRb-FUr.: [u, B U2 D B']
