DLf-RBd-BLd-LFd-LUf.: [L, f' b d b' f]
DLf-RBd-BLd-LFd-LUf.: [L, b f' d b' f]
LDb-BRu-LBu-FLu-ULb.: [L, f' b u' b' f]
LDb-BRu-LBu-FLu-ULb.: [L, b f' u' b' f]
FRd-LFd-BLd-DLf-LUf.: [L, f' b d' b' f]
FRd-LFd-BLd-DLf-LUf.: [L, b f' d' b' f]
BLd-RDf-RBd-FLu-ULb.: [L, b' u' R2 u b]
BLd-DLf-RFu-RDf-ULb.: [L, b' d' R2 d b]
RFu-FLu-LBu-LDb-ULb.: [L, b' f' u f b]
RFu-FLu-LBu-LDb-ULb.: [L, f' b' u f b]
DLf-RBd-BLd-LFd-LUf.: [L, b' f' d f b]
DLf-RBd-BLd-LFd-LUf.: [L, f' b' d f b]
LDb-BRu-LBu-FLu-ULb.: [L, b' f' u' f b]
LDb-BRu-LBu-FLu-ULb.: [L, f' b' u' f b]
FRd-LFd-BLd-DLf-LUf.: [L, b' f' d' f b]
FRd-LFd-BLd-DLf-LUf.: [L, f' b' d' f b]
BLd-FLu-RDf-DLf-ULb.: [L, b2 D2 b D2 b]
RFu-FLu-LBu-LDb-ULb.: [L, b' f u f' b]
RFu-FLu-LBu-LDb-ULb.: [L, f b' u f' b]
DLf-RBd-BLd-LFd-LUf.: [L, b' f d f' b]
DLf-RBd-BLd-LFd-LUf.: [L, f b' d f' b]
LDb-BRu-LBu-FLu-ULb.: [L, b' f u' f' b]
LDb-BRu-LBu-FLu-ULb.: [L, f b' u' f' b]
FRd-LFd-BLd-DLf-LUf.: [L, b' f d' f' b]
FRd-LFd-BLd-DLf-LUf.: [L, f b' d' f' b]
DLf-FLu-BLd-UBr-ULb.: [L, U f2 U f2 U2]
ULb-DLf-FLu-BLd-UFl.: [L, U' f2 U' f2 U2]
LDb-LFd-LBu-BUl-LUf.: [L, U b2 U b2 U2]
LUf-LDb-LFd-LBu-FUr.: [L, U' b2 U' b2 U2]
LBu-LFd-FDl-LDb-LUf.: [L, D f2 D f2 D2]
LBu-LFd-BDr-LDb-LUf.: [L, D' f2 D' f2 D2]
BLd-FLu-DFr-DLf-ULb.: [L, D b2 D b2 D2]
BLd-FLu-DBl-DLf-ULb.: [L, D' b2 D' b2 D2]
LFd-LBu-LDb-LUf-UFl.: [L, F u2 F u2 F2]
DFr-LFd-LBu-LDb-LUf.: [L, F' u2 F' u2 F2]
FLu-BLd-DLf-ULb-FUr.: [L, F d2 F d2 F2]
FDl-FLu-BLd-DLf-ULb.: [L, F' d2 F' d2 F2]
DLf-BDr-BLd-FLu-ULb.: [L, B u2 B u2 B2]
DLf-BUl-BLd-FLu-ULb.: [L, B' u2 B' u2 B2]
LDb-DBl-LBu-LFd-LUf.: [L, B d2 B d2 B2]
LDb-UBr-LBu-LFd-LUf.: [L, B' d2 B' d2 B2]
FLu-LBu-LDb-ULb-FUr.: [L, F' l' u2 F u2]
FLu-LBu-LDb-ULb-FUr.: [L, F' u2 l' F u2]
LDb-DBl-LBu-FLu-ULb.: [L, B' u2 r B u2]
LDb-DBl-LBu-FLu-ULb.: [L, B' r u2 B u2]
LDb-BRu-LBu-LFd-LUf.: [L, u F2 u F2 u2]
RFu-FLu-BLd-DLf-ULb.: [L, u' B2 u' B2 u2]
FDl-FLu-LBu-LDb-ULb.: [L, F r' u2 F' u2]
FDl-FLu-LBu-LDb-ULb.: [L, F u2 r' F' u2]
LDb-UBr-LBu-FLu-ULb.: [L, B u2 l B' u2]
LDb-UBr-LBu-FLu-ULb.: [L, B l u2 B' u2]
LFd-BLd-DLf-LUf-UFl.: [L, F' d2 r F d2]
LFd-BLd-DLf-LUf-UFl.: [L, F' r d2 F d2]
DLf-BDr-BLd-LFd-LUf.: [L, B' l' d2 B d2]
DLf-BDr-BLd-LFd-LUf.: [L, B' d2 l' B d2]
DLf-RBd-BLd-FLu-ULb.: [L, d' F2 d' F2 d2]
FRd-LFd-LBu-LDb-LUf.: [L, d B2 d B2 d2]
DFr-LFd-BLd-DLf-LUf.: [L, F d2 l F' d2]
DFr-LFd-BLd-DLf-LUf.: [L, F l d2 F' d2]
DLf-BUl-BLd-LFd-LUf.: [L, B r' d2 B' d2]
DLf-BUl-BLd-LFd-LUf.: [L, B d2 r' B' d2]
DLf-FLu-LBu-BUl-LUf.: [L, U' f2 r U f2]
DLf-FLu-LBu-BUl-LUf.: [L, U' r f2 U f2]
LBu-FLu-DFr-DLf-LUf.: [L, D' l' f2 D f2]
LBu-FLu-DFr-DLf-LUf.: [L, D' f2 l' D f2]
BLd-FLu-RDf-DLf-ULb.: [L, f' U2 f' U2 f2]
LDb-LFd-LBu-URf-LUf.: [L, f D2 f D2 f2]
LUf-DLf-FLu-LBu-FUr.: [L, U f2 l U' f2]
LUf-DLf-FLu-LBu-FUr.: [L, U l f2 U' f2]
LBu-FLu-DBl-DLf-LUf.: [L, D r' f2 D' f2]
LBu-FLu-DBl-DLf-LUf.: [L, D f2 r' D' f2]
LDb-LFd-BLd-UBr-ULb.: [L, U' l' b2 U b2]
LDb-LFd-BLd-UBr-ULb.: [L, U' b2 l' U b2]
BLd-LFd-FDl-LDb-ULb.: [L, D' b2 r D b2]
BLd-LFd-FDl-LDb-ULb.: [L, D' r b2 D b2]
LBu-LFd-DRb-LDb-LUf.: [L, b U2 b U2 b2]
DLf-FLu-BLd-RUb-ULb.: [L, b' D2 b' D2 b2]
ULb-LDb-LFd-BLd-UFl.: [L, U r' b2 U' b2]
ULb-LDb-LFd-BLd-UFl.: [L, U b2 r' U' b2]
BLd-LFd-BDr-LDb-ULb.: [L, D b2 l D' b2]
BLd-LFd-BDr-LDb-ULb.: [L, D l b2 D' b2]
