UF-LF-DB-UB-DF.*: [M2, F U2 F]
UF-DB-UB-RB-DF.*: [M2, F R2 F]
UF-DF-RF-UB-DB.*: [M2, F D2 F]
UF-DF-UB-DB-LD.*: [M2, F L' F]
UF-DB-UB-RU-DF.*: [M2, F R' F]
UF-LD-DB-UB-DF.*: [M2, B L B]
UF-DF-RU-UB-DB.*: [M2, B R B]
UF-LF-DB-UB-DF.*: [M2, B L2 B]
UF-DB-UB-RB-DF.*: [M2, B U2 B]
UF-DF-RF-UB-DB.*: [M2, B R2 B]
UF-DF-UB-DB-LB.*: [M2, B D2 B]
UF-LU-DB-UB-DF.*: [M2, B L' B]
UF-DF-RD-UB-DB.*: [M2, B R' B]
UF-UB-DF-DB-BL.*: [M2, U' L U']
UF-DB-DF-FR-UB.*: [M2, U' R U']
UF-UB-DF-DB-DL.*: [M2, U' L2 U']
UF-DB-DF-DR-UB.*: [M2, U' R2 U']
UF-UL-DB-DF-UB.*: [M2, U' F2 U']
UF-UB-UR-DF-DB.*: [M2, U' B2 U']
UF-UB-DF-DB-FL.*: [M2, U' L' U']
UF-DB-DF-BR-UB.*: [M2, U' R' U']
UF-FL-DB-DF-UB.*: [M2, D' L D']
UF-UB-BR-DF-DB.*: [M2, D' R D']
UF-UL-DB-DF-UB.*: [M2, D' L2 D']
UF-UB-UR-DF-DB.*: [M2, D' R2 D']
UF-DB-DF-DR-UB.*: [M2, D' F2 D']
UF-UB-DF-DB-DL.*: [M2, D' B2 D']
UF-BL-DB-DF-UB.*: [M2, D' L' D']
UF-UB-FR-DF-DB.*: [M2, D' R' D']
UF-DB-UB-LU-DF.*: [M2, F' L F']
UF-DF-UB-DB-RD.*: [M2, F' R F']
UF-DB-UB-LB-DF.*: [M2, F' L2 F']
UF-RF-DB-UB-DF.*: [M2, F' U2 F']
UF-DF-UB-DB-RB.*: [M2, F' R2 F']
UF-DF-LF-UB-DB.*: [M2, F' D2 F']
UF-DB-UB-LD-DF.*: [M2, F' L' F']
UF-DF-UB-DB-RU.*: [M2, F' R' F']
UF-DF-LD-UB-DB.*: [M2, B' L B']
UF-RU-DB-UB-DF.*: [M2, B' R B']
UF-DF-LF-UB-DB.*: [M2, B' L2 B']
UF-DB-UB-LB-DF.*: [M2, B' U2 B']
UF-RF-DB-UB-DF.*: [M2, B' R2 B']
UF-DF-UB-DB-RB.*: [M2, B' D2 B']
UF-DF-LU-UB-DB.*: [M2, B' L' B']
UF-RD-DB-UB-DF.*: [M2, B' R' B']
UF-FL-BL-FR-BR.*: [E2, L U L]
DB-BL-FL-BR-FR.*: [E2, L D L]
UR-FL-BL-FR-BR.*: [E2, L U2 L]
DR-BL-FL-BR-FR.*: [E2, L D2 L]
UL-BR-FR-BL-FL.*: [E2, L F2 L]
DL-FR-BR-FL-BL.*: [E2, L B2 L]
UB-FL-BL-FR-BR.*: [E2, L U' L]
DF-BL-FL-BR-FR.*: [E2, L D' L]
UB-BR-FR-BL-FL.*: [E2, R U R]
DF-FR-BR-FL-BL.*: [E2, R D R]
UL-BR-FR-BL-FL.*: [E2, R U2 R]
DL-FR-BR-FL-BL.*: [E2, R D2 R]
DR-BL-FL-BR-FR.*: [E2, R F2 R]
UR-FL-BL-FR-BR.*: [E2, R B2 R]
UF-BR-FR-BL-FL.*: [E2, R U' R]
DB-FR-BR-FL-BL.*: [E2, R D' R]
UR-RF-LF-RB-LB.*: [E2, F U F]
DL-LF-RF-LB-RB.*: [E2, F D F]
DF-RB-LB-RF-LF.*: [E2, F L2 F]
UB-RF-LF-RB-LB.*: [E2, F U2 F]
UF-LB-RB-LF-RF.*: [E2, F R2 F]
DB-LF-RF-LB-RB.*: [E2, F D2 F]
UL-RF-LF-RB-LB.*: [E2, F U' F]
DR-LF-RF-LB-RB.*: [E2, F D' F]
UL-LB-RB-LF-RF.*: [E2, B U B]
DR-RB-LB-RF-LF.*: [E2, B D B]
UB-RF-LF-RB-LB.*: [E2, B L2 B]
UF-LB-RB-LF-RF.*: [E2, B U2 B]
DB-LF-RF-LB-RB.*: [E2, B R2 B]
DF-RB-LB-RF-LF.*: [E2, B D2 B]
UR-LB-RB-LF-RF.*: [E2, B U' B]
DL-RB-LB-RF-LF.*: [E2, B D' B]
UF-BL-FL-BR-FR.*: [E2, L' U L']
DB-FL-BL-FR-BR.*: [E2, L' D L']
UR-BL-FL-BR-FR.*: [E2, L' U2 L']
DR-FL-BL-FR-BR.*: [E2, L' D2 L']
DL-BR-FR-BL-FL.*: [E2, L' F2 L']
UL-FR-BR-FL-BL.*: [E2, L' B2 L']
UB-BL-FL-BR-FR.*: [E2, L' U' L']
DF-FL-BL-FR-BR.*: [E2, L' D' L']
UB-FR-BR-FL-BL.*: [E2, R' U R']
DF-BR-FR-BL-FL.*: [E2, R' D R']
UL-FR-BR-FL-BL.*: [E2, R' U2 R']
DL-BR-FR-BL-FL.*: [E2, R' D2 R']
UR-BL-FL-BR-FR.*: [E2, R' F2 R']
DR-FL-BL-FR-BR.*: [E2, R' B2 R']
UF-FR-BR-FL-BL.*: [E2, R' U' R']
DB-BR-FR-BL-FL.*: [E2, R' D' R']
UR-LF-RF-LB-RB.*: [E2, F' U F']
DL-RF-LF-RB-LB.*: [E2, F' D F']
UF-RB-LB-RF-LF.*: [E2, F' L2 F']
UB-LF-RF-LB-RB.*: [E2, F' U2 F']
