Bdl-Ufr-Urb-Ubl-Blu.: [U, r' u2 d2 r]
Bdl-Ufr-Urb-Ubl-Lfu.: [U, r' u' d2 r]
Ufr-Urb-Dfl-Fru-Ulf.: [U, f2 r' f2 r]
Fdr-Dlb-Urb-Ubl-Ulf.: [U, b2 r' b2 r]
Rbu-Rdb-Ufr-Urb-Ubl.: [U, r' u d' r]
Rdb-Ufr-Urb-Ubl-Blu.: [U, r' u2 d' r]
Rdb-Ufr-Urb-Ubl-Lfu.: [U, r' u' d' r]
Ufr-Urb-Fru-Bdl-Ulf.: [U, f' u d f]
Ufr-Urb-Rbu-Bdl-Ulf.: [U, f' u2 d f]
Ufr-Urb-Blu-Bdl-Ulf.: [U, f' u' d f]
Ubl-Ulf-Ufr-Dlb-Lfu.: [U, l2 f' l2 f]
Ldf-Dbr-Ufr-Urb-Ubl.: [U, r2 f' r2 f]
Ufr-Urb-Fru-Rdb-Ulf.: [U, f' u d2 f]
Ufr-Urb-Rbu-Rdb-Ulf.: [U, f' u2 d2 f]
Ufr-Urb-Blu-Rdb-Ulf.: [U, f' u' d2 f]
Ufr-Urb-Fru-Fdr-Ulf.: [U, f' u d' f]
Ufr-Urb-Rbu-Fdr-Ulf.: [U, f' u2 d' f]
Ufr-Urb-Blu-Fdr-Ulf.: [U, f' u' d' f]
Blu-Fdr-Urb-Ubl-Ulf.: [U, b' u d b]
Fdr-Urb-Ubl-Ulf-Lfu.: [U, b' u2 d b]
Fru-Fdr-Urb-Ubl-Ulf.: [U, b' u' d b]
Ufr-Rdb-Dfl-Ubl-Ulf.: [U, l2 b' l2 b]
Drf-Rbu-Ufr-Urb-Ubl.: [U, r2 b' r2 b]
Blu-Ldf-Urb-Ubl-Ulf.: [U, b' u d2 b]
Ldf-Urb-Ubl-Ulf-Lfu.: [U, b' u2 d2 b]
Fru-Ldf-Urb-Ubl-Ulf.: [U, b' u' d2 b]
Blu-Bdl-Urb-Ubl-Ulf.: [U, b' u d' b]
Bdl-Urb-Ubl-Ulf-Lfu.: [U, b' u2 d' b]
Fru-Bdl-Urb-Ubl-Ulf.: [U, b' u' d' b]
Ufr-Ruf-Dfl-Ubl-Ulf.: [U, f' l2 f l2]
Ufr-Dlb-Lbd-Ubl-Ulf.: [U, b' l2 b l2]
Ufr-Ldf-Dfl-Ubl-Ulf.: [U, f l2 f' l2]
Ufr-Dlb-Rbu-Ubl-Ulf.: [U, b l2 b' l2]
Drf-Rfd-Ufr-Urb-Ubl.: [U, f' r2 f r2]
Dbr-Ufr-Urb-Ubl-Lub.: [U, b' r2 b r2]
Ufr-Urb-Ubl-Drf-Lfu.: [U, f r2 f' r2]
Rdb-Dbr-Ufr-Urb-Ubl.: [U, b r2 b' r2]
Ufr-Urb-Dfl-Fld-Ulf.: [U, l' f2 l f2]
Ufr-Urb-Bur-Drf-Ulf.: [U, r' f2 r f2]
Ufr-Urb-Dfl-Blu-Ulf.: [U, l f2 l' f2]
Ufr-Urb-Fdr-Drf-Ulf.: [U, r f2 r' f2]
Dlb-Urb-Ubl-Ulf-Ful.: [U, l' b2 l b2]
Dbr-Brd-Urb-Ubl-Ulf.: [U, r' b2 r b2]
Bdl-Dlb-Urb-Ubl-Ulf.: [U, l b2 l' b2]
Dbr-Fru-Urb-Ubl-Ulf.: [U, r b2 r' b2]
Ufr-Lbd-Ruf-Ubl-Ulf.: [U, l u d l']
Ufr-Lbd-Bur-Ubl-Ulf.: [U, l u2 d l']
Ufr-Lbd-Lub-Ubl-Ulf.: [U, l u' d l']
Ufr-Brd-Ruf-Ubl-Ulf.: [U, l u d2 l']
Ufr-Brd-Bur-Ubl-Ulf.: [U, l u2 d2 l']
Ufr-Brd-Lub-Ubl-Ulf.: [U, l u' d2 l']
Drf-Ulf-Ufr-Urb-Ful.: [U, f2 l f2 l']
Dbr-Fld-Urb-Ubl-Ulf.: [U, b2 l b2 l']
Ufr-Rfd-Ruf-Ubl-Ulf.: [U, l u d' l']
Ufr-Rfd-Bur-Ubl-Ulf.: [U, l u2 d' l']
Ufr-Rfd-Lub-Ubl-Ulf.: [U, l u' d' l']
Ufr-Urb-Ubl-Rfd-Lub.: [U, r u d r']
Ufr-Urb-Ubl-Rfd-Ful.: [U, r u2 d r']
